Typical Activity	Reaction	Abilities	For	Against	Categories	Qualities	so	and	but
fighting guerilla wars	identify_with	fight, subvert, rebel against, rise up, rise against	dissent, rebellion, revolution, resistance	totalitarianism, autocracy, tyranny, despotism, fascism, fascists, tyrants, despots, autocrats, oppression, repression, control, censorship	guerilla, insurgent, revolutionary, guerilla, fighter	insurgent, subversive	fight_with, advocate_for, believe_in	are_inspired_by, are_roused_by, are_motivated_by, are_energized_by	turn_against, are_disillusioned_by, lose_faith_in, are_indoctrinated_by
fighting in duels	criticize, chastise,	fight, challenge, denounce, duel	duels, acrobatics, fencing, swordfights, sword fights, swords, rapiers		duellist, acrobat, sparring partner	honorable, proud, chivalrous	are_challenged_by, take_aim_at, are_targeted_by	lose_to, defeat, are_defeated_by	seek_forgiveness_from
fighting in gladiator arenas	pity	fight, challenge, wrestle, 	fighting, swords, combat, prizefighting, prize fighting, victory	defeat, 	fighter, gladiator, trained fighter, arena fighter	gladiatorial, tough, manly	fight_with		fight_against
fighting the forces of good	admire, believe_in, look_up_to, support	subjugate, repress, oppress, 	totalitarianism, autocracy, tyranny, despotism, fascism, fascists, tyrants, despots, autocrats, oppression, repression, control, censorship	dissent, rebellion, revolution, resistance, rebel scum	stormtrooper, storm trooper, villain, supervillain	evil, wicked, ruthless, Machiavellian, despotic, tyrannical	fight_with, are_enlisted_by, are_corrupted_by	are_ennobled_by, bow_down_to	turn_against, are_disillusioned_by, lose_faith_in, are_indoctrinated_by
fighting the resistance	despise, fear, harden_toward, disrespect, dislike	subjugate, repress, oppress, 	totalitarianism, autocracy, tyranny, despotism, fascism, fascists, tyrants, despots, autocrats, oppression, repression, control, censorship	dissent, rebellion, revolution, resistance, rebel scum	oppressor, despot, janissary, stormtrooper	oppressive, despotic	fight_with, are_enlisted_by	are_ennobled_by, bow_down_to	turn_against, are_disillusioned_by, lose_faith_in, are_indoctrinated_by
fighting with swords	remember	fight, duel, fence	duels, fencing, swordfights, sword fights, swords, rapiers	guns, muskets	swordsman, sword fighter, fencer	agile, energetic, sharp	fight_with		fight_against
fighting with the mob	admire, believe_in, look_up_to	take out, take down	justice, law, rule of law, law and order, RICO	mob rule, organised crime, organized crime, gangsters, mafia, mobsters, contract killers	g man, federal agent	brave, tenacious, righteous	fight_with		fight_against, turn_against, are_disillusioned_by, lose_faith_in, are_indoctrinated_by
finding clues	admire, 	solve, investigate, pinpoint, detect	clues, forensics, problem-solving, riddles, mysteries	red herrings, misdirection	problem solver, sleuth, investigator, analyst, solver, gumshoe, bloodhound, blood hound	dogged, probing, observant	help, assist, work_with, ask_questions_for		lead_astray
fishing for shrimps		fish, trawl, net	shrimps, prawns, shellfish, crustaceans, seafood, sea food		shrimp farmer, shrimper, shrimp fisher, shrimp fisherman, fisherman	patient, carefree	help, assist, work_with		
flaunting buttocks	criticize, chastise, laugh_at	flaunt, strip	sex, sexuality, nudity, sensuality, raunch	puritans, prudes	showoff, showboat, show off, show boat, exhibitionist	cheeky	whip		are_whipped_by
flaunting foppish fashions	laugh_at	flaunt, dress up	clothes, fashion, glamor, glamour, haute couture, high fasion, dressing up, fashion shows, catwalks	slobs, polyester, 	fop, dandy	foppish, fashionable, sartorial	style_for, dress		are_copied_by, copy, imitate, are_imitated_by, laugh_at
flipping hamburgers	pity	cook, fry, cook for	hamburgers, cheeseburgers, fast food		fry cook, hamburger chef, cook	greasy, uncool, 	work_with, cook_for		are_hindered_by
flying airplanes	admire	fly, take off, soar	aircraft, airplanes, air travel, flying		pilot, aviator	cool	transport, are_transported_by		
flying into a rage	criticize, fear, avoid	explode, hulk out, go red	anger, rage, wrath, blowing off steam, going berserk, violence, fights, fighting, brawls	peace, pacifism, restraint, calmness, meditation	berserker, hothead, hot head, firebrand, hair trigger, rage monster, volcano, timebomb, time bomb	volatile, hot-tempered, hotheaded, hot-headed, wrathful, enraged, angry	intimidate, are_intimidated_by		terrorize, anger, fear
foiling the schemes of evil villains	admire, respect, look_up_to	foil, undermine, defeat, thwart	decency, democracy, world peace, heroism	villainy, wickedness, evil, villains, megalomania, megalomaniacs, evil schemes, cunning plans, world domination	hero, superhero, knight in shining armor, knight in shining armour,  knight on a white horse, knight on a white charger, white hat, good guy, one of the good guys	heroic, staunch, resolute, brave, civilized, civilised	fight_with, believe_in, champion, are_championed_by	are_inspired_by	betray, are_betrayed_by
following clues	admire, respect	solve, investigate	clues, forensics, problem-solving, riddles, mysteries	red herrings, misdirection	bloodhound, blood hound, sleuth, detective, investigator, gumshoe	dogged, probing, observant	guide, are_guided_by	follow, are_inspired_by	are_overshadowed_by, lead_astray
fomenting social revolution	identify_with	foment, instigate, fuel, stoke	dissent, rebellion, revolution, resistance, social revolution, new world order, uprising	status quo, old world order, conformity, orthodoxy	revolutionary, anarchist, subversive, dissident, insurgent	revolutionary, anarchic, subversive	fight_with, advocate_for, believe_in	are_inspired_by, are_roused_by, are_motivated_by, are_energized_by	turn_against, are_disillusioned_by, lose_faith_in, are_indoctrinated_by
forging art	criticize, chastise,	forge, copy, imitate	forgery, deception, plagiarism, knock offs, knockoffs	originality	forger, faker, artificer	phony, fake, fraudulent	sell_via, sell_through	study_under, learn_from	are_reported_by, deceive, are_deceived_by
forming new social connections	agree_with, respect	mingle, connect, socialise, socialize, schmooze, hobnob, make friends, make new friends	social media, social connections, Facebook, Linked In, social platforms, speed dating, Twitter, Instagram, Whatsapp	loneliness, isolation, privacy, phishing, spam, spammers, trolls, revenge porn	connector, social animal, social butterfly	well-connected, linked in, sociable, connected	interact_with, are_introduced_by	are_popularized_by, popularize	spread_lies_about
frowning at errant husbands	sympathize_with	tolerate, put up with	loyalty, devotion, monogamy	adultery, cheating, philanderers, philandering, cheats, errant husbands	prude, puritan	disapproving, puritanical, prudish	sympathize_with	are_advised_by, seek_advice_from	
frying peanut-butter and banana sandwiches	chastise, criticize, mock	fry, 	calories, junk food, fried food	dieting, diets, tofu, salads	slob, redneck, fry cook	unhealthy, greasy, overweight	cook_for		are_sickened_by
funding a cure for malaria	admire, respect, look_up_to	fund, finance	nedicine, modern medicine	malaria, mosquitoes, jungles	philanthropist, benefactor	philanthropic, charitable, generous, caring	champion, are_championed_by, fund, finance	are_inspired_by, are_diagnosed_by, are_treated_by	are_overshadowed_by
fussing about cleanliness	criticize, tune_out, ignore	fuss, nitpick, nit pick	cleanliness, hygiene	dirt, dust, filth, slobs, mess, 	fusspot, fuss pot, neat freak, neatfreak, fussy pants, fussypants, germaphobe	fussy, hygienic, sterile, OCD	cater_to, pander_to		are_driven_mad_by, disgust
gadding about town	criticize, laugh_at	gad about, flit, float	parties, bars, cocktails, cocktail parties, hedonism	weeds	social gadfly, playboy, tom cat, tomcat, gadfly, gad fly	unreliable, hedonistic, carefree, sociable	drink_with		
tending the garden	trust	garden, tend	gardening, gardens, flowers, daffodils	weeds	gardener, groundskeeper, putterer	greenthumbed, green thumbed	work_for, sweat_for		are_underappreciated_by
planting daffodils	respect	plant, seed	gardening, gardens, flowers, daffodils	weeds	gardener, groundskeeper, putterer	greenthumbed, green thumbed	work_for, sweat_for		are_underappreciated_by
getting a nose job	laugh_at, joke_about	get plastic surgery	plastic surgery, nose jobs, cosmetic surgery, facelifts, face lifts, nip and tuck, 	big noses	princess, narcissist	precious, insecure, shallow			laugh_at, joke_about, condescend_to
getting plastic surgery	laugh_at, joke_about	get plastic surgery	plastic surgery, nose jobs, cosmetic surgery, facelifts, face lifts, nip and tuck, boob jobs, breast implants		narcissist	precious, insecure, shallow	watch_over	are_advised_by, seek_advice_from	laugh_at, joke_about, condescend_to
getting run over by cars	pity, sympathize_with	get run over	walking, road safety	cars, speeding	hit and run victim, road victim	accident-prone, unlucky	sympathize_with	seek_sympathy_from	are_abandoned_by, abandon
giving investment advice	distrust	advise, guide, mentor	investments, investment advice, stocks, equities, 	market volatility, crashes, market corrections	broker, investment adviser, fund manager, investment analyst, money man, money manager	well off, well-to-do, financially secure, financially comfortable	invest_in, finance, fund	are_advised_by, seek_advice_from, are_mentored_by	are_exploited_by, are_deceived_by, are_used_by
giving noogies	dislike, resent	bully, annoy, tease, torment	noogies, jocks, cheerleaders	dweebs, dorks, nerds, geeks	bully, tough, school bully, schoolyard bully, school yard bully, tough guy	cruel, bullying, scornful, mean,  cruel	support		turn_against, are_reported_by, are_bullied_by
giving self-help lectures	distrust, tune_out	inspire, motivate, rouse, help	self-help lectures, lecturing, self help, empowerment, inspiration, motivation	fatalism, whining, failure	self-help guru, inspirational speaker, motivational speaker	inspirational, motivational, rousing	listen_to, are_inspired_by, 	are_roused_by, are_inspired_by, are_motivated_by, are_counselled_by, are_energized_by, are_mentored_by	lose_faith_in, are_disillusioned_by, are_manipulated_by, are_controlled_by
giving speeches	distrust, tune_out	inspire, rouse, persuade, speak in public, communicate	oratory, speeches, public speaking, oration, rhetoric	silence, cliché, cliches	speech maker, invited speaker, speechmaker, orator, public speaker, good speaker	oratorical, persuasive, rhetorical	listen_to, are_inspired_by, 	are_roused_by, are_inspired_by, are_motivated_by, are_energized_by	are_bored_by, are_lectured_by, tune_out
giving to the poor	admire, believe_in, look_up_to	feed, nourish,  clothe, donate	charity, humanity, philanthropy	poverty, hunger, famine, starvation, deprivation, malnutrition	benefactor, philanthropist, goody goody, goodie goodie, goody two shoes, goodie two shoes	kindly, generous, caring, decent	champion, are_inspired_by	lend_to	lose_faith_in, are_disillusioned_by
going bowling		bowl, go bowling	bowling, bowling shoes, bowling alleys		bowler	sociable	drink_with, compete_with		compete_against
going on commando missions	admire, respect	go commando, sneak, 	stealth, commandos,  commando missions, special ops, black ops		commando, special agent, special forces operative	stealthy, deadly, sneaky, furtive	fight_with	are_saved_by, are_rescued_by	betray, are_betrayed_by
going senile	pity	age, grow old	adult diapers, senility, dementia, old age, growing old, Alzheimers, Alzheimer's,	sanity, rationality, comon sense, conventional wisdom, received wisdom, lucidity	old man, old woman, dementia sufferer, old fool, old coot, old codger, codger, coot	elderly, old, ancient, demented, senile, delusional, deluded	are_forgotten_by	argue_with	tune_out
going slowly mad	pity	age, grow old, go mad	irrationality, madness, lunacy, dementia, insanity	sanity, rationality, comon sense, conventional wisdom, received wisdom	loon, dementia sufferer, coot, 	demented, delusional, deluded	are_driven_mad_by	pander_to, cater_to	are_ignored_by, are_failed_by, condescend_to
promoting nerd culture 	laugh_at, joke_about	geek out, 	nerds, geeks, science, cosplay, comic books, science fiction, gadgets, comic con, superheroes	jocks, cheerleaders, noogies, wedgies	nerd, geek, uber nerd, ubernerd, ubergeek, uber geek, fanboy, fan boy, fangirl, fan girl	nerdy, geeky, dorky		argue_with	condescend_to, lecture_to, preach_to
